"IBM.open"	"IBM.high"	"IBM.low"	"IBM.close"	"IBM.adjclose"	"IBM.volume"
"271"	105.849998	107.650002	104.860001	105.650002	76.320488	7431100
"272"	104.209999	107.970001	103.699997	107.110001	77.375198	9054600
"273"	107.160004	109.400002	105.860001	109.080002	78.798302	8047100
"274"	108.669998	109	107.230003	107.93	77.967552	5985500
"275"	107.059998	108.050003	104.68	105.019997	75.865395	9048900
"276"	105.050003	106.489998	103.580002	103.589996	75.118484	8265700
"277"	102.889999	104	100.599998	102.339996	74.212029	11255800
"278"	102.190002	103.669998	102.07	103.269997	74.886429	6085600
"279"	103.050003	105.550003	102.870003	105.139999	76.242485	6098300
"280"	105.160004	107.330002	104.699997	106.529999	77.25045	7650200
"281"	107.129997	108.93	106.800003	108.419998	78.620972	6608200
"282"	107.940002	108.5	105.5	106.129997	76.960381	7340600
"283"	105.269997	106.25	105	106.160004	76.98214	6235600
"284"	106.940002	107.620003	104.639999	105	76.140953	7376400
"285"	105.43	108.209999	104.529999	107.849998	78.207634	7671000
"286"	108.099998	109.599998	106.43	106.93	77.540497	8328000
"287"	107.139999	108.480003	105.709999	108.07	78.367172	7917200
"288"	107.43	110.32	107.43	110.080002	79.824722	8158000
"289"	109.519997	114.989998	109.050003	114.379997	82.942894	18651500
"290"	113.839996	116.629997	112.910004	116.459999	84.451195	11854900
"291"	115.599998	115.900002	114.559998	115.239998	83.566528	7227200
"292"	114.040001	115.139999	113.349998	113.860001	82.565811	8475100
"293"	113.860001	114.809998	113.480003	114.230003	82.834106	6335700
"294"	113.400002	115.720001	112.75	115.709999	83.907341	8593300
"295"	116.410004	116.410004	114.25	115.389999	83.675285	8434200
"296"	115.059998	115.150002	112.25	112.519997	81.594078	8018400
"297"	111.849998	114.75	111.800003	113.940002	82.623817	8124900
"298"	113.120003	115.989998	113.120003	114.010002	82.674591	9747300
"299"	115.800003	116.559998	114.040001	116.489998	84.472954	10480600
"300"	116.440002	118	115.110001	117.07	84.893539	9083200
"301"	115.690002	116.779999	113.639999	115.910004	84.052368	9548900
"302"	116.07	116.519997	112.690002	115.230003	83.55925	9734600
"303"	113	117.040001	113	115.550003	83.791328	9280300
"304"	116.599998	118.43	113.809998	118.410004	85.86525	9966500
"305"	118.290001	118.5	116.650002	116.940002	84.799286	9314400
"306"	117.089996	118.480003	116.650002	118.330002	85.807228	11417900
"307"	118.57	119.790001	118.129997	119.059998	86.336578	8398000
"308"	119.099998	119.099998	117.150002	117.970001	85.546165	8443600
"309"	117.589996	117.970001	114.959999	116.910004	84.777534	9617100
"310"	116.019997	116.199997	114.510002	115.519997	83.769569	8437200
"311"	115.860001	116.75	114.209999	114.57	83.080658	6600900
"312"	114.150002	115.870003	113.339996	115.139999	83.493988	9707200
"313"	115.199997	118.370003	114.970001	116.489998	84.472954	11875400
"314"	116.839996	116.879997	113.980003	114.809998	83.254707	8007600
"315"	114.349998	116.82	113.860001	116.019997	84.132133	7052900
"316"	116.050003	116.580002	114.599998	115.760002	83.943611	5733200
"317"	116.370003	117.370003	115.82	116.309998	84.3424	6181200
"318"	115.720001	116.879997	115.279999	116.269997	84.3134	7283300
"319"	116.5	117.720001	115.720001	116.769997	84.676003	6819100
"320"	116.93	119.220001	116.879997	118.779999	86.133537	9149300
"321"	117.309998	117.800003	115.510002	116	84.117622	9556800
"322"	116.199997	117.940002	115.949997	117.279999	85.045815	7745600
"323"	117.099998	117.669998	115.540001	117.169998	84.966049	8642000
"324"	118.150002	120.470001	117.169998	120.470001	87.359047	19317700
